1/0: cDist = 9; avg = 9
17/19: cDist = 1.41421; avg = 17.8579
18/19: cDist = 51; avg = 34.4289
20/19: cDist = 47.0106; avg = 40.7198
21/19: cDist = 3.16228; avg = 21.941
22/19: cDist = 55.0364; avg = 38.4887
0/20: cDist = 43.0813; avg = 40.785
1/20: cDist = 51.5461; avg = 46.1656
2/20: cDist = 47.4342; avg = 46.7999
3/20: cDist = 34.9285; avg = 40.8642
4/20: cDist = 45.2217; avg = 43.0429
5/20: cDist = 51.923; avg = 47.483
6/20: cDist = 42.0595; avg = 44.7712
7/20: cDist = 47.8017; avg = 46.2864
8/20: cDist = 37.9473; avg = 42.1169
9/20: cDist = 42.72; avg = 42.4185
10/20: cDist = 11.4018; avg = 26.9101
11/20: cDist = 40.5216; avg = 33.7159
12/20: cDist = 38.3275; avg = 36.0217
13/20: cDist = 51.1566; avg = 43.5892
14/20: cDist = 5.83095; avg = 24.7101
15/20: cDist = 50.0899; avg = 37.4
16/20: cDist = 4.47214; avg = 20.9361
17/20: cDist = 48.0416; avg = 34.4889
18/20: cDist = 4.12311; avg = 19.306
19/20: cDist = 47.0106; avg = 33.1583
21/20: cDist = 44; avg = 38.5792
22/20: cDist = 8.06226; avg = 23.3207
0/21: cDist = 16.4924; avg = 19.9066
1/21: cDist = 16.7631; avg = 18.3348
2/21: cDist = 15.0333; avg = 16.6841
3/21: cDist = 18.4391; avg = 17.5616
4/21: cDist = 14.0357; avg = 15.7986
5/21: cDist = 15.2315; avg = 15.5151
6/21: cDist = 13.6015; avg = 14.5583
7/21: cDist = 13.1529; avg = 13.8556
8/21: cDist = 14.4222; avg = 14.1389
9/21: cDist = 12.3693; avg = 13.2541
10/21: cDist = 42.45; avg = 27.852
11/21: cDist = 12.083; avg = 19.9675
12/21: cDist = 12.2066; avg = 16.087
13/21: cDist = 8.06226; avg = 12.0747
14/21: cDist = 49.0918; avg = 30.5832
15/21: cDist = 6.7082; avg = 18.6457
16/21: cDist = 48.0416; avg = 33.3437
17/21: cDist = 4.47214; avg = 18.9079
18/21: cDist = 48.0104; avg = 33.4592
19/21: cDist = 3.16228; avg = 18.3107
20/21: cDist = 44; avg = 31.1554
22/21: cDist = 52.0096; avg = 41.5825
0/22: cDist = 50.9215; avg = 46.252
1/22: cDist = 59.4811; avg = 52.8665
2/22: cDist = 55.3624; avg = 54.1145
3/22: cDist = 42.72; avg = 48.4173
4/22: cDist = 53.1601; avg = 50.7887
5/22: cDist = 59.9083; avg = 55.3485
6/22: cDist = 50; avg = 52.6742
7/22: cDist = 55.7853; avg = 54.2298
8/22: cDist = 45.8803; avg = 50.055
9/22: cDist = 50.6952; avg = 50.3751
10/22: cDist = 16.2788; avg = 33.327
11/22: cDist = 48.5077; avg = 40.9173
12/22: cDist = 46.3249; avg = 43.6211
13/22: cDist = 59.2115; avg = 51.4163
14/22: cDist = 5; avg = 28.2082
15/22: cDist = 58.1378; avg = 43.173
16/22: cDist = 5; avg = 24.0865
17/22: cDist = 56.0803; avg = 40.0834
18/22: cDist = 4.47214; avg = 22.2778
19/22: cDist = 55.0364; avg = 38.6571
20/22: cDist = 8.06226; avg = 23.3597
21/22: cDist = 52.0096; avg = 37.6846
